r002,r003,r004,r005,r006,label
42615038,17126903,768,27,697,benigne
42964282,16815553,714,28,698,benigne
42676308,16820962,632,27,693,benigne
42685038,16927108,636,27,692,benigne
42953724,17208544,616,28,668,benigne
42759057,16662564,618,28,681,benigne
42861519,16805134,628,27,654,benigne
42850505,16820866,612,28,664,benigne
42645200,16890335,634,28,665,benigne
42828458,17139826,630,27,717,benigne
42708155,17130883,704,27,656,benigne
42884428,17224244,656,27,675,benigne
42830642,16885801,621,27,675,benigne
42760881,17036734,614,30,657,benigne
42823192,17040567,613,27,1207,benigne
42849543,16586476,626,27,687,benigne
42966282,16836975,610,27,682,benigne
42816735,17154233,619,27,675,benigne
43004543,16736502,687,27,683,benigne
43028061,28490041,623,28,736,benigne
42905189,16919997,590,29,658,benigne
42968204,16943395,774,28,694,benigne
42878508,16895026,650,27,673,benigne
42775249,17015327,634,27,642,benigne
42580485,16865519,705,28,678,benigne
42756763,16940242,641,26,686,benigne
42816719,16871945,630,27,661,benigne
42886054,17054519,626,27,673,benigne
42547485,16940601,632,28,657,benigne
71135634,17047466,640,29,719,benigne
57124930,16909188,1187,29,646,benigne
42730307,16909526,1339,27,681,benigne
42773949,16881851,676,28,667,benigne
42969361,16893080,650,28,668,benigne
42754562,16848198,695,29,688,benigne
42745293,16877386,632,29,659,benigne
42958765,28437147,617,29,663,benigne
42774422,22624454,614,29,666,benigne
43252484,16942689,632,28,668,benigne
42629329,16923967,624,29,654,benigne
42769295,16882812,741,28,723,benigne
42813165,16985566,668,27,649,benigne
42812266,17255986,638,30,669,benigne
42983145,16911372,634,29,654,benigne
42815278,17184155,630,28,662,benigne
42895325,17141215,634,27,664,benigne
42832471,16876697,636,29,659,benigne
43089941,16938988,630,28,653,benigne
42908246,16809172,1242,27,637,benigne
42578841,17014319,689,26,669,benigne
42692627,28153825,843,30,722,benigne
42596895,28143844,668,27,667,benigne
42883063,22363052,667,28,666,benigne
42771632,16931783,632,27,661,benigne
42806940,16930381,636,27,685,benigne
42721918,17182438,1293,27,660,benigne
42747344,16759016,675,27,655,benigne
42896888,17275193,651,28,638,benigne
42841327,16746400,628,27,663,benigne
42866707,16768896,639,26,655,benigne
42746797,16888854,793,28,946,benigne
42867286,16947930,673,28,1197,benigne
42750267,16904533,642,27,677,benigne
42838194,16766663,690,27,658,benigne
42739902,16879079,646,27,667,benigne
42928811,16763459,625,27,668,benigne
71212929,16791343,687,27,679,benigne
42874364,16952117,625,28,652,benigne
42747286,16807775,630,28,648,benigne
42710015,16700745,630,27,665,benigne
71443980,16849048,761,27,689,benigne
57010626,16728405,667,27,650,benigne
42789994,16852817,632,27,671,benigne
42536144,16867274,645,28,657,benigne
42747596,28120593,645,28,667,benigne
42787788,16755713,633,27,665,benigne
42830572,16925922,634,27,677,benigne
42850966,16871173,636,28,664,benigne
42893212,16859528,633,27,1195,benigne
42881056,17025018,645,27,721,benigne
42907090,17144608,737,27,680,benigne
71347049,17020642,675,27,677,benigne
42731156,16974252,1334,28,681,benigne
42892118,17068041,674,28,703,benigne
43027440,17013778,622,27,670,benigne
42856983,16799584,627,27,668,benigne
42850926,16839056,625,27,659,benigne
42652182,17264147,633,27,675,benigne
42897670,17172010,630,27,666,benigne
42694786,16813033,635,28,667,benigne
42879234,28626481,782,27,718,benigne
42814013,17192941,676,27,660,benigne
42783881,16823740,644,27,694,benigne
71055027,16794500,637,27,661,benigne
57011748,17029524,644,28,1237,benigne
42793347,16968556,626,28,673,benigne
42861602,16726805,693,28,681,benigne
43018593,16725382,640,27,661,benigne
42820161,16918788,1249,28,680,benigne
42737788,16563352,706,28,732,benigne
42902073,16654880,784,27,675,benigne
42756323,16835306,666,27,677,benigne
42951159,16884205,665,27,661,benigne
42817937,16579565,754,29,663,benigne
42700388,16802388,660,27,676,benigne
42874411,16957199,661,29,674,benigne
42595243,28038981,655,28,657,benigne
42726056,17002717,671,27,656,benigne
42782199,16786287,655,28,648,benigne
42843939,16989265,667,28,669,benigne
71303773,17045864,795,28,1233,benigne
57007480,17042602,688,28,663,benigne
42812683,16826812,1027,29,651,benigne
42757604,17123199,705,27,678,benigne
42525174,28174692,1829,28,662,benigne
42842467,22508051,2278,29,667,benigne
43038397,17126812,765,27,676,benigne
42970240,16683982,658,27,683,benigne
71231647,16919126,663,28,676,benigne
42641114,16876782,648,28,715,benigne
42536633,17002858,840,28,677,benigne
42857005,28276897,689,28,664,benigne
42611975,17185054,658,30,676,benigne
42723596,16828556,655,28,664,benigne
42780336,17121636,646,28,676,benigne
42613096,16784801,644,27,671,benigne
42713086,16996607,646,28,1216,benigne
42655025,16914329,644,27,668,benigne
42717089,17124329,1331,28,662,benigne
42959334,16975761,808,28,717,benigne
42877748,17159721,761,29,673,benigne
42595578,17090530,651,28,697,benigne
42870617,17273401,652,28,673,benigne
71341162,17116131,650,27,646,benigne
42799812,16747001,667,28,654,benigne
42592874,16849326,1318,28,678,benigne
42876447,17143141,692,29,654,benigne
42810343,17173462,642,30,667,benigne
42869680,16948175,641,27,665,benigne
42613296,17026079,785,28,979,benigne
42869982,16975047,659,28,1215,benigne
42678865,16927412,628,28,669,benigne
42697441,17068638,638,28,672,benigne
42810915,16842622,639,29,672,benigne
42895277,17211188,641,27,683,benigne
42770712,16865113,639,28,677,benigne
42879398,16863034,688,28,673,benigne
42831335,16800924,638,29,662,benigne
42910144,16778046,630,28,677,benigne
42835482,16935869,717,27,714,benigne
43089293,16902043,667,28,675,benigne
42601275,16752756,650,28,667,benigne
42700628,16952858,634,28,665,benigne
42812082,16640956,582,29,945,benigne
42883251,16913209,624,28,725,benigne
42625373,16898963,754,28,668,benigne
42559637,17006785,674,28,669,benigne
42959490,17263700,629,27,661,benigne
42649867,16826110,629,28,677,benigne
42914771,17085640,640,29,727,benigne
42945183,16871333,831,28,637,benigne
42900907,16898490,667,28,670,benigne
42651880,16894780,632,29,645,benigne
42879936,16920977,764,29,1254,benigne
42831208,17101570,649,27,684,benigne
42765373,16798851,636,28,664,benigne
42824918,16773014,632,28,665,benigne
42482826,17012209,625,28,679,benigne
42846596,16935154,631,29,669,benigne
42878112,16659707,636,27,724,benigne
42982331,16905511,764,28,673,benigne
42796745,16635428,659,29,647,benigne
42492951,16911802,636,28,681,benigne
42657382,17038705,621,28,665,benigne
42659174,17143184,626,29,682,benigne
42674290,17000535,635,27,683,benigne
42728848,16858867,636,28,681,benigne
42940699,16612116,637,28,681,benigne
42840172,17010969,637,29,686,benigne
42697332,16901653,626,27,729,benigne
42657325,17270337,799,27,657,benigne
42753424,16888252,672,27,674,benigne
42710610,16603131,647,27,646,benigne
42780628,16918314,638,28,668,benigne
42801186,16851747,739,27,669,benigne
42850748,16822324,1332,27,666,benigne
42859748,16651852,761,27,667,benigne
42518105,17239250,1245,27,674,benigne
42865605,17044701,679,28,681,benigne
42889359,17236376,635,27,736,benigne
42902278,16815883,810,27,669,benigne
42604586,16978014,896,27,660,benigne
42833030,16812951,704,28,681,benigne
71017306,17164432,695,27,668,benigne
57082634,17190177,622,27,670,benigne
42616464,28035916,614,28,691,benigne
42909170,22350520,687,27,686,benigne
42854798,17131323,630,27,680,benigne
42772357,16874575,627,27,663,benigne
42783986,16912645,622,27,660,benigne
42898063,17015080,779,27,742,benigne
42878879,16910424,669,28,660,benigne
71137324,16908711,646,27,676,benigne
42849518,17174176,646,28,664,benigne
42714781,17096376,658,27,682,benigne
42833793,17109070,657,27,667,benigne
42890696,17017430,27176,28,679,benigne
42701775,17108096,32329,28,654,benigne
42681026,16810032,35136,27,678,benigne
42864984,16995440,34459,28,675,benigne
42571274,16755824,42097,26,727,benigne
42562324,17102050,29991,28,655,benigne
42832029,16884495,31617,29,681,benigne
42691274,16806660,31989,29,671,benigne
71163287,17070395,33384,28,653,benigne
42663394,16807095,29734,28,685,benigne
42748484,17140439,29467,28,656,benigne
42765116,17095939,31379,27,687,benigne
42864308,16929648,30483,27,1200,benigne
42588674,17285752,32652,30,1074,benigne
42705473,17198470,36068,27,1102,benigne
42552845,16797519,33590,27,658,benigne
42777149,16963574,23993,28,676,benigne
42807205,16781010,1266,28,672,benigne
42874731,17014275,684,27,658,benigne
42990680,17154953,682,27,669,benigne
42749132,16844308,640,27,657,benigne
42795565,16911743,16392,28,668,benigne
42888020,16805248,2028,27,665,benigne
43031059,17021941,2143,27,696,benigne
42663942,16981456,26639,27,671,benigne
42812147,17146045,14883,27,669,benigne
42979646,16927310,842,27,667,benigne
42757967,16872892,3700,27,652,benigne
42516027,16819720,4728,27,654,benigne
42869458,17109317,726,28,668,benigne
42672405,16645721,661,29,653,benigne
42825779,16773100,3159,27,671,benigne
42783449,16816331,4784,27,673,benigne
42732665,16934519,2934,27,707,benigne
42896033,16828566,3613,28,667,benigne
42738986,16932758,760,27,670,benigne
42700302,16737922,642,27,679,benigne
42736292,16995876,656,27,653,benigne
42949051,16676967,650,28,1245,benigne
42817690,16887303,633,27,667,benigne
43344542,16771012,5326,27,642,benigne
42866008,17011136,3252,27,698,benigne
42812578,16964629,1457,27,651,benigne
42772479,16953675,687,27,712,benigne
42834716,17136779,628,27,676,benigne
42798242,16867852,649,27,660,benigne
42719697,16816872,631,28,666,benigne
42775092,28619944,706,28,645,benigne
42838418,16907492,4634,27,652,benigne
42820012,16798968,3134,27,648,benigne
42743704,17017328,1712,27,675,benigne
42807829,16663469,828,28,675,benigne
42719127,17116604,637,27,649,benigne
42897053,16790054,699,27,714,benigne
42778348,16744380,615,27,680,benigne
42757478,16869458,631,27,665,benigne
42651931,16959690,4825,28,669,benigne
42926607,16971893,3141,27,668,benigne
42697562,17027954,1542,27,656,benigne
42774812,16892313,876,27,648,benigne
42767129,16764034,671,27,673,benigne
42880666,17130106,1137,27,666,benigne
42689729,17228392,1250,28,637,benigne
43014994,28333946,5136,27,678,benigne
42837637,17196795,3554,27,712,benigne
56871543,16970156,810,27,666,benigne
71341578,16898734,712,27,667,benigne
42475671,16916874,616,27,650,benigne
42830030,16577599,3406,28,665,benigne
71233371,16869560,765,27,654,benigne
57091922,16785680,689,27,647,benigne
42778146,16904069,6979,27,647,benigne
42862186,28229355,1601,27,658,benigne
42752928,22375094,675,27,652,benigne
42774462,17089408,622,27,1241,benigne
42646284,16740581,674,28,696,benigne
42935724,16856114,617,27,676,benigne
71190888,16825961,3093,27,667,benigne
42874952,28383989,7587,27,676,benigne
42835106,16795301,1400,27,681,benigne
42658527,16952940,688,28,663,benigne
42935282,17193480,2820,27,671,benigne
42949627,17109555,820,28,680,benigne
71437100,17119107,1323,28,682,benigne
42670646,16740007,725,27,730,benigne
42456096,28459968,692,28,660,benigne
42867331,16914024,7179,27,666,benigne
42767688,16928585,744,27,645,benigne
42679055,17068759,651,28,664,benigne
42857125,16869994,630,27,661,benigne
42911303,16810747,623,28,1187,benigne
42796941,17099391,624,27,670,benigne
42668814,16907701,2805,27,657,benigne
42628360,17095987,750,28,972,benigne
42714648,16490372,6797,27,1210,benigne
42820128,16902975,1595,27,697,benigne
42862630,17285551,683,28,680,benigne
42751787,16838479,626,27,659,benigne
42474029,16873940,619,27,656,benigne
71186433,17294439,604,28,655,benigne
42595534,17176582,635,28,660,benigne
42732471,17089840,4611,34,671,benigne
42683963,17290923,3467,28,672,benigne
42772097,17240460,820,27,720,benigne
42759303,17042004,3033,27,663,benigne
42894138,16857676,1371,28,1208,benigne
42948528,16886907,696,27,663,benigne
42633855,16861994,628,27,652,benigne
42668976,16781880,6900,27,675,benigne
56929998,16923941,1473,27,659,benigne
71187883,28417229,697,28,666,benigne
42692108,16906196,627,27,656,benigne
42890556,17014633,624,28,717,benigne
42586449,16866055,815,28,669,benigne
70953198,17111529,670,27,670,benigne
42789777,16937937,647,27,668,benigne
42856009,17252120,5198,27,688,benigne
42787673,17122478,759,28,669,benigne
42702994,17118734,652,27,685,benigne
42750386,16802774,6993,27,668,benigne
42832091,17178177,756,28,668,benigne
42924300,16794680,645,27,1196,benigne
42776320,16842439,828,27,718,benigne
42878308,16952360,4899,27,690,benigne
42777665,16895176,831,27,691,benigne
42731501,16912425,711,27,670,benigne
42908453,28052993,628,27,674,benigne
42615231,16848877,6736,29,670,benigne
42799235,16972459,897,27,661,benigne
42910076,17162378,647,27,676,benigne
71202737,16947930,646,28,656,benigne
42621410,16816770,810,27,667,benigne
42606797,16857802,967,27,723,benigne
43106945,16812383,681,27,669,benigne
42836868,16915110,626,27,665,benigne
42856736,17306871,678,28,666,benigne
42774747,17075662,623,27,685,benigne
42607051,17179156,623,27,1217,benigne
42880317,16990527,609,27,678,benigne
42765733,16742363,632,27,647,benigne
42852038,16989269,617,27,678,benigne
71270396,16821283,816,27,669,benigne
56984353,17015769,666,28,718,benigne
42818179,17246351,630,28,666,benigne
42893190,17012533,622,27,668,benigne
42747158,17033755,621,27,688,benigne
42721176,17139854,1266,27,668,benigne
42883368,17149351,677,27,689,benigne
71432377,17017136,609,28,656,benigne
57213793,17057604,667,28,679,benigne
42751809,16909187,607,28,667,benigne
42802212,28282273,1438,29,674,benigne
42799185,22771500,681,27,711,benigne
42862617,17052594,627,27,653,benigne
42782900,16832991,615,29,678,benigne
42717525,17230927,613,27,687,benigne
42785324,16835206,652,27,678,benigne
42811054,16944356,665,27,680,benigne
43016143,16918814,672,29,674,benigne
42903545,16722052,614,27,669,benigne
42937488,17233925,709,28,654,benigne
42850089,17085678,644,27,687,benigne
42733757,17172046,639,28,657,benigne
42740174,16923501,630,27,712,benigne
42812246,16728596,685,27,671,benigne
42929293,28319312,673,27,653,benigne
42653715,28693455,679,28,671,benigne
42755934,22529513,598,27,681,benigne
42852080,16960451,663,27,658,benigne
42805799,16932719,613,28,658,benigne
42760920,17208416,633,30,657,benigne
42574263,16902663,827,28,651,benigne
42587956,16730636,704,28,665,benigne
42724272,16700354,608,27,713,benigne
42859946,16816796,623,27,662,benigne
42693451,17146607,610,28,1012,benigne
42567745,17150284,617,29,926,benigne
42779926,17272004,16844,28,645,benigne
42861901,16885127,4783,27,669,benigne
42682683,17152567,682,28,680,benigne
42646873,16943891,744,29,662,benigne
42740033,17169511,666,28,662,benigne
42724602,16948308,631,28,699,benigne
42847431,16904065,633,28,656,benigne
42934874,16929995,753,27,671,benigne
42526192,16823871,669,27,641,benigne
42892177,17257921,638,29,657,benigne
42925637,16664620,626,28,652,benigne
70973776,16849455,633,29,672,benigne
71230817,16922724,687,28,654,benigne
56968567,16840083,673,29,675,benigne
42766007,16727122,814,32,664,benigne
42855855,16598151,645,29,669,benigne
42876511,16986682,676,26,712,benigne
42801498,16720092,1219,29,670,benigne
42581175,16839616,687,28,676,benigne
42794671,17003583,612,28,684,benigne
42708464,17249144,666,28,660,benigne
42667111,16964034,630,28,672,benigne
42675496,16557066,612,28,692,benigne
42856801,17042399,721,30,688,benigne
42601022,17094423,711,27,940,benigne
42729281,16637079,622,26,667,benigne
42836361,16776422,628,27,725,benigne
42700709,16855446,658,29,659,benigne
42874859,17078895,625,27,664,benigne
42931921,16884270,619,27,669,benigne
42682987,16718205,632,27,686,benigne
42883100,16634174,617,27,670,benigne
43003499,17153226,629,27,657,benigne
42890581,17088173,1391,29,648,benigne
42837157,16924109,762,27,654,benigne
42848326,16968776,629,27,678,benigne
42689333,17201276,616,29,716,benigne
42843091,16839351,825,29,663,benigne
42882158,16767826,672,27,667,benigne
42890266,17036399,622,29,665,benigne
42669430,17141781,619,31,666,benigne
42757210,16885648,690,27,680,benigne
42845085,16958065,610,27,688,benigne
42816922,16953019,718,27,671,benigne
42811624,16872306,692,27,680,benigne
42782239,17032287,627,28,667,benigne
57183698,16736742,615,31,654,benigne
71335805,28361445,622,27,711,benigne
42887155,16997188,615,27,657,benigne
42679860,16964329,616,28,681,benigne
42829120,17303084,630,28,683,benigne
42854463,16739138,622,27,657,benigne
42869682,17089320,619,27,657,benigne
57324418,17244596,612,27,649,benigne
71364091,16851068,736,27,674,benigne
42849219,16910605,640,28,675,benigne
42772893,17198712,668,27,652,benigne
42958385,16917236,643,27,723,benigne
42603185,16934470,666,27,665,benigne
42533711,17108836,648,27,676,benigne
42807380,17249241,666,27,678,benigne
42944872,16681569,628,27,669,benigne
42885654,17001614,1288,27,658,benigne
42601695,17205397,1737,27,667,benigne
42810992,17022014,781,27,667,benigne
42981649,17150883,621,27,672,benigne
42702225,17014357,625,28,652,benigne
42805304,16864912,616,27,702,benigne
42651675,16787773,628,27,663,benigne
42339936,16858084,674,28,668,benigne
42643879,16877096,615,27,672,benigne
42939194,17160365,614,27,670,benigne
42709714,16845522,617,28,670,benigne
42697779,17144165,614,27,672,benigne
42532039,16941662,754,27,677,benigne
42809874,17280517,651,27,684,benigne
43026302,17154483,628,27,684,benigne
42835879,16875260,672,29,674,benigne
42954300,16667848,609,27,727,benigne
42894857,16970630,607,27,655,benigne
42774918,16975623,683,27,918,benigne
42758739,16971956,601,28,1213,benigne
42756825,17195808,618,27,676,benigne
42709817,16815911,614,26,681,benigne
42722116,16949190,744,28,680,benigne
42928068,16865275,665,28,677,benigne
42863520,17167334,615,27,662,benigne
42712777,28450409,607,28,701,benigne
42878997,17087613,613,27,671,benigne
42698472,17005840,604,27,666,benigne
43510934,16840480,614,28,684,benigne
42791718,17269876,990,27,1228,benigne
42832655,16861748,1297,27,655,benigne
42847836,17241095,798,27,681,benigne
42873963,16677158,670,28,679,benigne
42826637,16849942,638,27,886,benigne
42837282,17162085,631,27,1284,benigne
71114886,17188249,629,27,663,benigne
42643241,16968917,637,28,697,benigne
42724265,16901474,629,26,663,benigne
42872877,16935067,626,28,667,benigne
42835564,17186450,669,27,694,benigne
42913396,16735778,615,27,694,benigne
42831750,28363759,620,27,708,benigne
42863524,16855639,740,27,666,benigne
42698754,16980828,656,28,699,benigne
42793624,16841424,628,27,1293,benigne
42839075,17101819,615,28,701,benigne
42760313,17007445,614,27,673,benigne
42858121,16844056,610,27,676,benigne
42855258,16864884,650,27,658,benigne
42709157,17140609,607,28,654,benigne
42858023,17084237,607,29,1240,benigne
71125541,17256329,609,28,674,benigne
42490954,16867809,737,28,671,benigne
42859451,16909639,640,27,723,benigne
42856525,16996488,616,27,664,benigne
42820684,16927900,617,27,681,benigne
57032284,16880779,855,27,662,benigne
71350148,28539784,652,27,657,benigne
42630896,16725981,620,27,673,benigne
42656222,16642294,595,29,679,benigne
42837929,16892188,597,27,666,benigne
42829788,16810996,613,27,701,benigne
71348711,17004490,710,28,684,benigne
56939958,16905920,693,28,742,benigne
43001010,17030703,618,27,682,benigne
42866995,17162641,601,27,683,benigne
42846119,17024645,616,27,670,benigne
42806233,16921959,606,27,676,benigne
42779615,16958569,623,27,685,benigne
42884874,16865167,663,28,670,benigne
42612438,16688502,609,27,675,benigne
42856815,16844285,603,27,684,benigne
56889850,28100353,610,29,683,benigne
42801902,16846996,1057,27,687,benigne
56838176,16917665,1203,26,712,benigne
42663782,17093155,678,28,691,benigne
42827648,16913943,628,27,1213,benigne
71147014,17073153,632,27,667,benigne
56733920,16811116,616,27,679,benigne
42756803,17107097,610,27,687,benigne
42638505,17038277,676,27,672,benigne
42843001,16832189,748,27,671,benigne
42570373,16773715,791,28,679,benigne
42685198,16857880,630,27,722,benigne
42905316,17261080,618,27,674,benigne
42518450,16746894,626,27,678,benigne
42585693,16797178,618,27,673,benigne
42872242,16898191,611,27,683,benigne
42937519,17107764,619,28,677,benigne
42986601,28436583,616,27,681,benigne
300766,324655,7394,115,3726,maligne
6425375,5283348,64916,227,57581,maligne
6502008,9453800,6011,44,43037,maligne
6541929,19712197,7901,30,16089,maligne
7435735,26213442,838,30,18165,maligne
7510656,15266965,765,27,17249,maligne
7896516,15357325,658,29,18304,maligne
9836813,15364306,652,28,17806,maligne
14762540,15336970,697,27,16923,maligne
8934609,15331859,626,27,17949,maligne
8948241,15341848,814,28,21545,maligne
11586591,25482077,2679,28,20785,maligne
14746485,15317270,2716,28,25538,maligne
8973858,15393034,1359,26,20644,maligne
8914786,15400541,3973,29,20414,maligne
14746104,15408805,663,28,21335,maligne
12155213,15521452,633,28,20531,maligne
8725610,15486938,709,29,35387,maligne
9054350,15503186,626,29,20945,maligne
14992610,15338771,3223,27,20837,maligne
8944117,15336487,784,28,21343,maligne
14796109,15352815,644,27,20496,maligne
8947842,15346604,6218,28,21400,maligne
11782298,15349349,21431,27,20843,maligne
15148000,15365467,1423,27,20962,maligne
9011274,15354960,801,29,20987,maligne
8951174,15354935,763,28,23332,maligne
14788185,15357860,844,29,20060,maligne
12125633,15355571,1234,27,21115,maligne
8554355,15407523,1325,26,20731,maligne
9021236,15406798,665,32,21404,maligne
15224911,15408170,671,26,20656,maligne
8930194,15411947,616,29,21203,maligne
14815082,15417624,686,27,34862,maligne
8936954,15370202,671,27,21025,maligne
14778845,15362225,614,27,20781,maligne
12158452,15239105,753,27,21059,maligne
9015592,15233052,718,27,20968,maligne
8969792,15336937,1224,26,20849,maligne
14761427,15341714,647,29,21434,maligne
11747130,15690035,620,31,20606,maligne
8772677,15531591,588,26,21193,maligne
8891992,15353512,611,27,20457,maligne
14792075,15330165,635,27,20964,maligne
8946320,15365356,639,27,20871,maligne
14768067,15420680,589,28,21328,maligne
12149045,15420220,760,28,20574,maligne
11584142,15420151,1050,27,21331,maligne
13821169,25526657,818,27,20555,maligne
10418560,20754340,615,28,35239,maligne
12483717,15114702,606,27,21110,maligne
11400544,15377400,614,27,27600,maligne
8948960,15325913,1330,27,34775,maligne
11708138,15332773,651,29,21051,maligne
9050369,15336308,617,30,21151,maligne
12000127,15340910,719,30,20672,maligne
11798731,15341089,651,27,21417,maligne
11913695,15332876,599,27,20445,maligne
14767309,15404046,605,27,20591,maligne
8927838,15400739,1157,28,21206,maligne
8944513,15398703,694,27,20638,maligne
14768454,20965366,623,28,19527,maligne
12147239,25823023,606,28,21136,maligne
8586975,15363992,1224,28,19727,maligne
9080562,15357655,824,28,21110,maligne
15126688,15350369,670,27,20719,maligne
8948014,15348074,1232,29,20433,maligne
14775134,15375865,664,28,20416,maligne
12158457,15372059,613,28,21232,maligne
8697599,15334135,600,28,20604,maligne
9082182,26336136,610,28,35428,maligne
15000771,20796638,588,27,20799,maligne
8949905,15165406,595,27,21082,maligne
14782672,15356861,600,28,21193,maligne
8944050,15334519,753,27,20646,maligne
11785302,15327017,652,28,21429,maligne
9015070,15395516,607,27,20778,maligne
15177944,15422241,672,27,21024,maligne
8946831,15426776,695,27,21288,maligne
14803778,15403821,610,28,34565,maligne
8942051,15356791,610,27,28339,maligne
14771217,15337884,603,27,20591,maligne
12156528,15944544,1174,27,19502,maligne
9027387,15501383,655,27,20759,maligne
8951792,15625058,850,27,21440,maligne
14770460,15358496,648,27,20609,maligne
11524926,15750821,615,28,20277,maligne
12160008,26145769,607,27,20320,maligne
13224175,15374902,621,28,20510,maligne
10515388,15499536,614,26,21120,maligne
12729491,15403891,676,28,20733,maligne
11006055,15386273,646,27,23734,maligne
8949320,15327731,605,27,21128,maligne
8908696,15330136,605,29,20901,maligne
8952887,15357053,737,27,20926,maligne
8952798,15341769,706,27,21375,maligne
8952424,15337464,671,27,20446,maligne
8952656,15328529,610,29,21416,maligne
8951899,15345006,1243,28,20675,maligne
8949387,15331355,2076,27,21254,maligne
8962037,15347542,1099,27,20754,maligne
9146377,15416400,666,27,21308,maligne
9112033,15457159,711,27,20580,maligne
9081112,15892536,632,27,35456,maligne
9077497,15233579,814,27,20472,maligne
8969472,15347277,1075,27,21369,maligne
8946321,15334831,1241,27,25391,maligne
8949051,15354459,692,29,20771,maligne
8954198,15347223,626,28,21072,maligne
8954658,15440872,624,27,21238,maligne
14725281,15570320,601,28,20643,maligne
9023698,15433766,618,28,21380,maligne
9055770,15771937,626,29,20750,maligne
9112201,15787236,1444,27,21074,maligne
9111206,15233539,701,27,21226,maligne
9057364,15497502,659,27,20632,maligne
8965285,15879515,636,27,21431,maligne
8951957,15421679,622,27,20770,maligne
8949439,15540016,631,34,21063,maligne
8953004,15422648,635,31,21199,maligne
8952287,15522081,625,28,20607,maligne
8955198,15301677,612,27,21462,maligne
8951966,15341034,613,27,20769,maligne
8950852,15387870,842,27,20220,maligne
8949644,16017898,725,27,21290,maligne
8967166,15203247,565,27,20963,maligne
15347189,15681292,701,27,20846,maligne
8947157,26399119,687,28,21431,maligne
8952810,20827644,627,27,20617,maligne
8954701,15316562,1349,27,21207,maligne
8952479,15349190,765,27,21040,maligne
8950008,15279741,652,27,20803,maligne
8952982,16003567,719,28,21474,maligne
8950942,15715236,649,27,20590,maligne
8944360,15326725,622,28,21275,maligne
8955528,15665099,612,27,21015,maligne
8950802,15478147,614,28,20832,maligne
8993293,16026552,617,28,20735,maligne
9119048,25946901,617,28,20412,maligne
9126656,15315820,621,28,21230,maligne
9081000,15639667,611,27,20631,maligne
9060273,15455392,615,27,19766,maligne
8963559,26382954,600,29,19517,maligne
8949066,20745653,751,28,21091,maligne
8952148,15341701,649,27,20441,maligne
8954723,15707504,622,30,20894,maligne
8953159,15738434,625,28,20958,maligne
8953182,16037828,630,27,21215,maligne
8954964,15649717,621,28,20652,maligne
8953797,15376364,1157,28,20051,maligne
8954461,15262193,687,31,20804,maligne
8945766,15288692,627,27,20714,maligne
8948699,15407008,705,28,21156,maligne
8887770,25499886,644,27,34936,maligne
8951727,15330841,621,27,20992,maligne
8952894,15360234,607,28,20989,maligne
8955861,15351139,621,27,20847,maligne
8953454,15369648,607,27,21437,maligne
9047583,15351368,599,28,20628,maligne
9114060,15513562,665,27,20283,maligne
9091399,15393269,1500,27,20415,maligne
9130240,15336849,761,27,20962,maligne
9012284,15892748,686,28,34797,maligne
8952252,15597774,778,27,28090,maligne
8953010,15359398,642,27,21204,maligne
8950464,15342498,609,28,20641,maligne
8954124,15339585,610,27,21420,maligne
8952852,15345617,615,27,20771,maligne
8950904,15341619,603,28,21040,maligne
8950988,25559306,613,27,21182,maligne
8953085,15516055,605,28,20231,maligne
8951421,15444414,607,27,19958,maligne
8955116,15400157,607,28,21394,maligne
8947865,15337873,733,27,20544,maligne
8950800,15338452,628,28,21305,maligne
8947662,15332742,611,28,20896,maligne
9026733,15336723,598,27,21003,maligne
9085353,15346380,610,28,34536,maligne
9139217,15329758,609,29,21315,maligne
9145528,15334130,600,27,20867,maligne
8998704,15454024,605,27,21023,maligne
8954658,15692629,601,28,24406,maligne
8955419,15611444,597,27,21395,maligne
8950841,15810257,691,27,20722,maligne
8953406,15225413,609,28,21036,maligne
8955065,25397564,606,27,34624,maligne
8950467,15707644,669,27,24220,maligne
8956723,15577147,1024,29,20569,maligne
8951912,15782246,1183,28,21382,maligne
8954779,15548597,669,27,20900,maligne
8945274,15211623,620,28,20963,maligne
9055541,15671852,606,28,21345,maligne
9025961,15370201,692,28,20530,maligne
9045927,15349678,780,28,21388,maligne
9118941,15433471,647,27,20412,maligne
9138825,15300219,702,27,18666,maligne
8969610,15442392,641,28,21180,maligne
8958019,15587483,622,27,20863,maligne
8948900,15414238,607,29,20015,maligne
8949929,15441986,611,26,21421,maligne
8950576,15418918,616,28,27471,maligne
8954084,25851289,600,28,19462,maligne
8949962,15795018,613,28,20405,maligne
8954521,15356821,729,28,21448,maligne
8953098,15378746,641,28,20688,maligne
8948876,15341452,609,29,21162,maligne
8953581,15368582,607,28,21149,maligne
9103054,24930116,957,29,20684,maligne
9051957,19954130,739,29,21420,maligne
9099034,15412976,704,27,34874,maligne
14941668,15572027,685,28,20985,maligne
12144653,15366783,826,28,21240,maligne
8956943,15392347,648,28,20607,maligne
8954903,14950057,715,28,21417,maligne
8953835,15192740,642,28,20838,maligne
8953201,15596296,618,31,20992,maligne
8952753,15582696,616,27,20815,maligne
8955747,14863063,599,28,23981,maligne
8952478,15377701,619,27,21057,maligne
8950492,14933598,624,28,20771,maligne
8943720,14907828,635,27,21664,maligne
