r002,r003,r004,r005,r006,label
9182070,10119111,84894,46,149722,maligne
9323890,10317743,90582,46,147108,maligne
9181821,10299709,87301,41,151248,maligne
9332119,10211829,92472,45,146440,maligne
9166890,10295923,93812,42,149448,maligne
10096412,10017071,84903,45,148748,maligne
28529963,10613459,90232,42,146200,maligne
9327205,10251292,88932,43,150391,maligne
9278968,10127660,89015,42,148861,maligne
9287790,10151243,93054,46,148386,maligne
9309761,10215342,87868,43,149013,maligne
9230012,10311755,90382,45,145878,maligne
9249930,10578953,83654,48,146258,maligne
9329040,10233314,83502,43,148469,maligne
9427708,10224951,91107,43,147259,maligne
9421018,10103532,84752,45,147371,maligne
9387463,10227969,87948,41,153604,maligne
9399259,10182920,83061,43,146647,maligne
9337101,10198408,87986,66,145006,maligne
9377933,10241129,88099,42,148112,maligne
9286679,10171435,84117,41,147371,maligne
9376530,10147897,93947,46,145782,maligne
9348884,10353324,86388,40,155639,maligne
9400727,10180632,87552,45,148142,maligne
9363160,9535854,90649,44,152447,maligne
9271350,9679379,86516,44,150564,maligne
9249774,10486869,90191,45,148618,maligne
9349511,10237034,83695,42,150531,maligne
9463791,10190056,92600,44,149741,maligne
9322722,10316775,92557,44,149957,maligne
9314140,10323051,87415,45,148294,maligne
9188474,9513712,89275,43,146280,maligne
9362646,10186637,84479,43,149227,maligne
9374096,10266736,92171,47,148238,maligne
9332803,10077502,86763,42,150203,maligne
9371145,10340577,89958,44,148945,maligne
9288307,10168996,87224,44,150966,maligne
9351765,10079001,87047,43,148564,maligne
9292856,10148175,89283,43,152610,maligne
9305766,10179547,84355,47,151702,maligne
9944394,10277029,88841,43,146662,maligne
9447470,10164958,84393,41,149277,maligne
9350063,10341755,88367,44,148479,maligne
9356844,9365715,86908,45,147119,maligne
9330401,10083959,84763,41,148386,maligne
9224193,10169894,89872,44,151109,maligne
9257303,10201034,85146,44,150326,maligne
9293715,10363952,89935,42,147809,maligne
9411763,10333273,87162,45,147180,maligne
9363779,10194533,87652,47,150603,maligne
9301780,9566764,84897,46,147416,maligne
9266294,10131838,83140,48,146463,maligne
9314405,10101869,88804,69,148209,maligne
9407365,10160617,86120,46,146871,maligne
9634813,10294696,88980,49,144602,maligne
9350422,10127875,87086,43,148114,maligne
9341176,10136945,87911,66,147449,maligne
9250891,9511460,90973,45,149154,maligne
9326592,10201918,85894,46,147735,maligne
9240522,10175252,90818,49,152989,maligne
9660948,10088869,86099,45,148659,maligne
9245395,10129712,88634,43,149908,maligne
9232399,10240170,94588,44,148217,maligne
8759694,10003628,86157,44,147229,maligne
9017067,10393362,94066,43,153398,maligne
9235921,10223450,88684,45,150184,maligne
9246968,10221531,93535,45,148748,maligne
9247728,10134904,93991,44,149195,maligne
9213474,10251259,87772,42,147156,maligne
9338245,10508828,91400,43,153437,maligne
9354519,10111304,84653,44,150032,maligne
9248099,10180394,92966,46,149616,maligne
