combo,benigne,maligne,maligno_ratio
"(2, 3, 4, 2, 1)",0,61,1.0
"(1, 3, 2, 2, 2)",0,60,1.0
"(4, 4, 3, 3, 3)",67,60,0.47244094488188976
"(1, 3, 3, 2, 1)",0,58,1.0
"(4, 4, 1, 3, 3)",389,58,0.1297539149888143
"(1, 4, 2, 1, 1)",0,57,1.0
"(3, 4, 3, 1, 4)",7,56,0.8888888888888888
"(2, 2, 2, 1, 2)",1,55,0.9821428571428571
"(4, 4, 3, 1, 3)",55,54,0.4954128440366973
"(3, 3, 1, 3, 4)",0,54,1.0
"(1, 3, 1, 2, 2)",0,53,1.0
"(3, 4, 1, 1, 4)",5,53,0.9137931034482759
"(3, 3, 2, 3, 4)",65,53,0.4491525423728814
"(1, 4, 4, 3, 2)",0,52,1.0
"(3, 2, 3, 4, 4)",315,52,0.14168937329700274
"(1, 4, 1, 1, 2)",38,51,0.5730337078651685
"(3, 3, 3, 3, 4)",75,48,0.3902439024390244
"(1, 1, 4, 4, 2)",101,47,0.31756756756756754
"(1, 3, 1, 3, 2)",0,46,1.0
"(2, 1, 3, 3, 2)",63,45,0.4166666666666667
"(1, 1, 4, 4, 1)",3,44,0.9361702127659575
"(2, 4, 1, 3, 2)",0,44,1.0
"(2, 2, 4, 1, 1)",0,42,1.0
"(1, 3, 2, 3, 2)",0,42,1.0
"(3, 4, 3, 2, 3)",12,41,0.7735849056603774
"(3, 4, 3, 3, 2)",49,41,0.45555555555555555
"(2, 2, 3, 3, 2)",0,39,1.0
"(2, 2, 4, 2, 1)",0,38,1.0
"(2, 4, 3, 4, 2)",0,38,1.0
"(2, 2, 3, 2, 2)",1,37,0.9736842105263158
"(1, 4, 4, 2, 2)",0,37,1.0
"(1, 3, 3, 3, 1)",0,36,1.0
"(1, 4, 3, 1, 1)",0,36,1.0
"(2, 3, 4, 3, 1)",0,35,1.0
"(2, 3, 1, 3, 3)",1,33,0.9705882352941176
"(1, 4, 1, 3, 2)",0,32,1.0
"(1, 3, 4, 4, 2)",0,30,1.0
"(2, 2, 3, 1, 2)",1,28,0.9655172413793104
"(1, 2, 4, 4, 2)",1,28,0.9655172413793104
"(1, 2, 1, 2, 1)",0,28,1.0
"(1, 3, 3, 2, 2)",0,25,1.0
"(2, 4, 2, 4, 1)",0,25,1.0
"(1, 4, 2, 1, 2)",38,25,0.3968253968253968
"(4, 4, 3, 2, 3)",41,22,0.3492063492063492
"(2, 1, 2, 4, 2)",2,22,0.9166666666666666
"(1, 3, 4, 1, 1)",0,22,1.0
"(1, 4, 2, 3, 2)",5,21,0.8076923076923077
"(3, 3, 3, 1, 3)",11,20,0.6451612903225806
"(2, 3, 2, 3, 3)",1,19,0.95
"(2, 4, 3, 3, 3)",1,19,0.95
"(1, 4, 1, 2, 2)",6,18,0.75
"(1, 4, 2, 2, 2)",2,18,0.9
"(1, 2, 4, 1, 2)",0,18,1.0
"(1, 4, 2, 2, 1)",0,17,1.0
"(2, 4, 3, 3, 1)",1,17,0.9444444444444444
"(2, 3, 4, 2, 2)",0,17,1.0
"(3, 4, 2, 4, 2)",0,17,1.0
"(2, 2, 4, 3, 1)",0,17,1.0
"(2, 3, 2, 3, 2)",3,17,0.85
"(1, 2, 4, 1, 1)",0,16,1.0
"(1, 4, 3, 1, 2)",21,16,0.43243243243243246
"(1, 4, 4, 3, 1)",0,16,1.0
"(2, 3, 4, 3, 2)",0,15,1.0
"(2, 4, 3, 2, 2)",0,15,1.0
"(2, 4, 2, 4, 3)",0,15,1.0
"(2, 1, 4, 4, 1)",0,14,1.0
"(3, 1, 2, 3, 2)",0,14,1.0
"(2, 3, 1, 3, 2)",0,14,1.0
"(2, 4, 3, 1, 3)",33,14,0.2978723404255319
"(1, 3, 3, 3, 2)",0,14,1.0
"(2, 1, 4, 2, 3)",0,14,1.0
"(1, 2, 1, 3, 1)",0,13,1.0
"(2, 4, 1, 3, 1)",0,13,1.0
"(2, 3, 3, 2, 3)",0,12,1.0
"(1, 3, 4, 1, 2)",0,11,1.0
"(1, 4, 1, 3, 1)",0,11,1.0
"(4, 4, 4, 4, 3)",14,11,0.44
"(3, 4, 1, 2, 4)",0,11,1.0
"(2, 1, 3, 4, 2)",8,10,0.5555555555555556
"(1, 2, 2, 3, 1)",0,10,1.0
"(3, 4, 1, 4, 3)",13,10,0.43478260869565216
"(3, 3, 3, 4, 3)",106,10,0.08620689655172414
"(1, 1, 4, 4, 3)",403,10,0.024213075060532687
"(1, 1, 3, 4, 3)",277,10,0.03484320557491289
"(2, 4, 2, 2, 3)",3,10,0.7692307692307693
"(2, 3, 4, 1, 2)",0,10,1.0
"(1, 2, 1, 4, 2)",0,9,1.0
"(2, 4, 3, 1, 4)",2,9,0.8181818181818182
"(2, 4, 1, 4, 1)",0,9,1.0
"(2, 2, 4, 3, 3)",0,9,1.0
"(2, 3, 1, 1, 2)",0,9,1.0
"(1, 4, 3, 3, 2)",1,9,0.9
"(2, 1, 2, 2, 2)",73,9,0.10975609756097561
"(1, 1, 2, 2, 2)",0,9,1.0
"(2, 1, 2, 3, 1)",668,8,0.011834319526627219
"(1, 4, 4, 2, 1)",0,8,1.0
"(2, 3, 2, 2, 4)",0,8,1.0
"(3, 3, 3, 3, 3)",46,8,0.14814814814814814
"(2, 3, 1, 2, 4)",0,8,1.0
"(3, 3, 1, 4, 4)",0,8,1.0
"(1, 1, 3, 4, 2)",243,8,0.03187250996015936
"(1, 3, 1, 4, 1)",0,8,1.0
"(2, 2, 2, 4, 2)",0,7,1.0
"(3, 4, 2, 3, 1)",19,7,0.2692307692307692
"(1, 2, 1, 4, 1)",0,7,1.0
"(1, 4, 2, 3, 1)",0,7,1.0
"(1, 1, 1, 2, 1)",0,7,1.0
"(1, 4, 3, 2, 2)",1,7,0.875
"(2, 2, 4, 3, 2)",0,7,1.0
"(1, 4, 1, 2, 1)",0,7,1.0
"(1, 3, 4, 4, 1)",0,7,1.0
"(2, 4, 1, 1, 2)",4,7,0.6363636363636364
"(2, 3, 3, 2, 4)",0,7,1.0
"(1, 2, 2, 4, 2)",0,7,1.0
"(2, 3, 2, 3, 4)",1,7,0.875
"(1, 2, 2, 2, 1)",0,7,1.0
"(2, 2, 4, 4, 3)",28,7,0.2
"(3, 2, 4, 4, 4)",2096,7,0.0033285782215882074
"(2, 4, 1, 2, 3)",6,7,0.5384615384615384
"(1, 1, 2, 2, 1)",1,7,0.875
"(1, 1, 2, 3, 2)",0,6,1.0
"(1, 3, 2, 4, 1)",0,6,1.0
"(2, 3, 3, 3, 4)",2,6,0.75
"(2, 3, 2, 1, 2)",0,6,1.0
"(3, 3, 3, 4, 4)",312,6,0.018867924528301886
"(2, 1, 1, 3, 2)",94,6,0.06
"(3, 4, 3, 4, 4)",90,6,0.0625
"(2, 4, 1, 1, 4)",10,5,0.3333333333333333
"(3, 3, 2, 3, 3)",19,5,0.20833333333333334
"(2, 3, 2, 4, 3)",1,5,0.8333333333333334
"(3, 3, 1, 2, 3)",9,5,0.35714285714285715
"(4, 3, 1, 1, 3)",41,5,0.10869565217391304
"(4, 3, 2, 1, 3)",21,5,0.19230769230769232
"(1, 1, 3, 3, 2)",3,5,0.625
"(2, 3, 4, 4, 4)",2,5,0.7142857142857143
"(4, 4, 4, 3, 3)",0,5,1.0
"(3, 4, 2, 2, 4)",3,5,0.625
"(1, 4, 3, 3, 1)",0,5,1.0
"(2, 2, 4, 1, 2)",0,5,1.0
"(2, 3, 1, 4, 3)",0,4,1.0
"(2, 3, 4, 3, 3)",0,4,1.0
"(2, 1, 4, 4, 2)",37,4,0.0975609756097561
"(2, 1, 2, 4, 1)",4,4,0.5
"(2, 1, 4, 3, 4)",0,4,1.0
"(1, 4, 4, 4, 2)",0,4,1.0
"(3, 4, 2, 2, 2)",83,4,0.04597701149425287
"(3, 4, 3, 3, 4)",30,4,0.11764705882352941
"(2, 1, 2, 3, 3)",0,4,1.0
"(4, 4, 1, 4, 3)",18,4,0.18181818181818182
"(2, 1, 2, 4, 3)",0,4,1.0
"(1, 1, 4, 2, 3)",0,4,1.0
"(1, 2, 1, 1, 3)",42,4,0.08695652173913043
"(4, 3, 2, 2, 3)",12,4,0.25
"(2, 4, 1, 4, 2)",0,4,1.0
"(2, 4, 1, 3, 3)",9,4,0.3076923076923077
"(3, 3, 2, 4, 4)",23,4,0.14814814814814814
"(2, 4, 3, 4, 1)",0,4,1.0
"(1, 1, 1, 2, 2)",0,4,1.0
"(2, 2, 4, 2, 2)",0,4,1.0
"(2, 3, 2, 2, 2)",0,4,1.0
"(2, 3, 3, 3, 3)",0,4,1.0
"(3, 3, 2, 2, 3)",3,4,0.5714285714285714
"(2, 3, 1, 2, 2)",0,4,1.0
"(3, 1, 2, 4, 2)",0,4,1.0
"(3, 1, 2, 3, 1)",0,4,1.0
"(2, 4, 3, 4, 3)",9,4,0.3076923076923077
"(3, 1, 4, 4, 3)",175,4,0.0223463687150838
