combo,benigne,maligne
"(2, 2, 3, 1, 2)",1,28
"(1, 2, 4, 4, 2)",1,28
"(1, 2, 1, 2, 1)",0,28
"(1, 3, 3, 2, 2)",0,25
"(2, 4, 2, 4, 1)",0,25
"(1, 4, 2, 1, 2)",38,25
"(4, 4, 3, 2, 3)",41,22
"(2, 1, 2, 4, 2)",2,22
"(1, 3, 4, 1, 1)",0,22
"(1, 4, 2, 3, 2)",5,21
"(3, 3, 3, 1, 3)",11,20
"(2, 3, 2, 3, 3)",1,19
"(2, 4, 3, 3, 3)",1,19
"(1, 4, 1, 2, 2)",6,18
"(1, 4, 2, 2, 2)",2,18
"(1, 2, 4, 1, 2)",0,18
"(1, 4, 2, 2, 1)",0,17
"(2, 4, 3, 3, 1)",1,17
"(2, 3, 4, 2, 2)",0,17
"(3, 4, 2, 4, 2)",0,17
"(2, 2, 4, 3, 1)",0,17
"(2, 3, 2, 3, 2)",3,17
"(1, 2, 4, 1, 1)",0,16
"(1, 4, 3, 1, 2)",21,16
"(1, 4, 4, 3, 1)",0,16
"(2, 3, 4, 3, 2)",0,15
"(2, 4, 3, 2, 2)",0,15
"(2, 4, 2, 4, 3)",0,15
"(2, 1, 4, 4, 1)",0,14
"(3, 1, 2, 3, 2)",0,14
"(2, 3, 1, 3, 2)",0,14
"(2, 4, 3, 1, 3)",33,14
"(1, 3, 3, 3, 2)",0,14
"(2, 1, 4, 2, 3)",0,14
"(1, 2, 1, 3, 1)",0,13
"(2, 4, 1, 3, 1)",0,13
"(2, 3, 3, 2, 3)",0,12
"(1, 3, 4, 1, 2)",0,11
"(1, 4, 1, 3, 1)",0,11
"(4, 4, 4, 4, 3)",14,11
"(3, 4, 1, 2, 4)",0,11
"(2, 1, 3, 4, 2)",8,10
"(1, 2, 2, 3, 1)",0,10
"(3, 4, 1, 4, 3)",13,10
"(3, 3, 3, 4, 3)",106,10
"(1, 1, 4, 4, 3)",403,10
"(1, 1, 3, 4, 3)",277,10
"(2, 4, 2, 2, 3)",3,10
"(2, 3, 4, 1, 2)",0,10
"(1, 2, 1, 4, 2)",0,9
"(2, 4, 3, 1, 4)",2,9
"(2, 4, 1, 4, 1)",0,9
"(2, 2, 4, 3, 3)",0,9
"(2, 3, 1, 1, 2)",0,9
"(1, 4, 3, 3, 2)",1,9
"(2, 1, 2, 2, 2)",73,9
"(1, 1, 2, 2, 2)",0,9
"(2, 1, 2, 3, 1)",668,8
"(1, 4, 4, 2, 1)",0,8
"(2, 3, 2, 2, 4)",0,8
"(3, 3, 3, 3, 3)",46,8
"(2, 3, 1, 2, 4)",0,8
"(3, 3, 1, 4, 4)",0,8
"(1, 1, 3, 4, 2)",243,8
"(1, 3, 1, 4, 1)",0,8
"(2, 2, 2, 4, 2)",0,7
"(3, 4, 2, 3, 1)",19,7
"(1, 2, 1, 4, 1)",0,7
"(1, 4, 2, 3, 1)",0,7
"(1, 1, 1, 2, 1)",0,7
"(1, 4, 3, 2, 2)",1,7
"(2, 2, 4, 3, 2)",0,7
"(1, 4, 1, 2, 1)",0,7
"(1, 3, 4, 4, 1)",0,7
"(2, 4, 1, 1, 2)",4,7
"(2, 3, 3, 2, 4)",0,7
"(1, 2, 2, 4, 2)",0,7
"(2, 3, 2, 3, 4)",1,7
"(1, 2, 2, 2, 1)",0,7
"(2, 2, 4, 4, 3)",28,7
"(3, 2, 4, 4, 4)",2096,7
"(2, 4, 1, 2, 3)",6,7
"(1, 1, 2, 2, 1)",1,7
"(1, 1, 2, 3, 2)",0,6
"(1, 3, 2, 4, 1)",0,6
"(2, 3, 3, 3, 4)",2,6
"(2, 3, 2, 1, 2)",0,6
"(3, 3, 3, 4, 4)",312,6
"(2, 1, 1, 3, 2)",94,6
"(3, 4, 3, 4, 4)",90,6
"(2, 4, 1, 1, 4)",10,5
"(3, 3, 2, 3, 3)",19,5
"(2, 3, 2, 4, 3)",1,5
"(3, 3, 1, 2, 3)",9,5
"(4, 3, 1, 1, 3)",41,5
"(4, 3, 2, 1, 3)",21,5
"(1, 1, 3, 3, 2)",3,5
"(2, 3, 4, 4, 4)",2,5
"(4, 4, 4, 3, 3)",0,5
"(3, 4, 2, 2, 4)",3,5
