combo,benigne,maligne
"(2, 1, 1, 4, 1)",2,0
"(2, 1, 1, 4, 2)",2,0
"(2, 1, 2, 1, 1)",9,0
"(2, 1, 2, 1, 2)",5,0
"(2, 1, 2, 2, 1)",351,0
"(4, 4, 4, 1, 4)",1,0
"(4, 2, 3, 1, 1)",27,0
"(4, 2, 3, 1, 2)",40,0
"(4, 2, 3, 1, 3)",14,0
"(4, 2, 3, 1, 4)",4,0
"(4, 2, 3, 2, 1)",18,0
"(4, 2, 3, 2, 2)",17,0
"(4, 3, 2, 4, 3)",3,0
"(4, 3, 2, 4, 4)",8,0
"(4, 2, 3, 4, 4)",1123,0
"(4, 2, 4, 4, 2)",16,0
"(4, 2, 4, 4, 3)",17,0
"(4, 3, 1, 1, 1)",1430,0
"(4, 3, 1, 1, 2)",585,0
"(4, 3, 1, 2, 1)",286,0
"(4, 3, 1, 2, 2)",138,0
"(4, 3, 1, 3, 1)",156,0
"(4, 3, 1, 3, 2)",105,0
"(4, 3, 1, 4, 1)",3,0
"(4, 3, 1, 4, 2)",3,0
"(4, 3, 1, 4, 3)",3,0
"(4, 2, 2, 4, 4)",3,0
"(2, 1, 3, 4, 1)",2,0
"(4, 3, 3, 4, 1)",3,0
"(4, 3, 3, 4, 2)",851,0
"(4, 3, 3, 4, 3)",128,0
"(4, 3, 3, 4, 4)",606,0
"(4, 3, 2, 1, 1)",1317,0
"(4, 3, 2, 1, 2)",583,0
"(4, 3, 2, 1, 4)",10,0
"(4, 3, 2, 2, 1)",240,0
"(4, 3, 2, 2, 2)",159,0
"(4, 3, 2, 2, 4)",6,0
"(4, 3, 2, 3, 1)",119,0
"(4, 3, 2, 3, 2)",92,0
"(4, 3, 2, 3, 3)",33,0
"(4, 3, 2, 3, 4)",41,0
"(4, 3, 2, 4, 1)",5,0
"(4, 3, 2, 4, 2)",5,0
"(4, 4, 1, 3, 1)",249,0
"(4, 4, 1, 3, 2)",87,0
"(4, 4, 1, 4, 1)",14,0
"(4, 4, 1, 4, 2)",1,0
"(4, 4, 2, 1, 1)",582,0
"(4, 4, 2, 1, 2)",256,0
"(4, 4, 2, 1, 4)",1,0
"(4, 3, 3, 1, 1)",622,0
"(4, 3, 3, 1, 2)",328,0
"(4, 3, 3, 1, 4)",7,0
"(4, 3, 3, 2, 1)",181,0
"(4, 3, 3, 2, 2)",153,0
"(4, 3, 3, 2, 4)",10,0
"(4, 3, 3, 3, 1)",99,0
"(4, 3, 3, 3, 2)",66,0
"(4, 3, 3, 3, 4)",58,0
"(1, 1, 2, 4, 2)",9,0
"(1, 1, 3, 4, 4)",17,0
"(4, 4, 2, 3, 4)",4,0
"(4, 4, 2, 4, 1)",10,0
"(4, 4, 2, 4, 2)",7,0
"(4, 4, 2, 4, 4)",1,0
"(4, 4, 3, 1, 1)",421,0
"(4, 4, 3, 1, 2)",198,0
"(4, 4, 3, 1, 4)",4,0
"(4, 4, 3, 2, 1)",149,0
"(4, 4, 3, 2, 2)",77,0
"(4, 4, 3, 2, 4)",6,0
"(4, 4, 3, 3, 1)",97,0
"(4, 4, 3, 3, 2)",54,0
"(1, 1, 1, 1, 4)",4,0
"(4, 3, 4, 2, 4)",1,0
"(3, 1, 3, 2, 4)",4,0
"(1, 1, 2, 1, 3)",1,0
"(1, 1, 2, 1, 4)",2,0
"(1, 1, 2, 3, 1)",2,0
"(4, 4, 3, 3, 4)",30,0
"(4, 4, 3, 4, 1)",11,0
"(4, 4, 3, 4, 2)",69,0
"(4, 4, 3, 4, 4)",477,0
"(4, 4, 4, 1, 1)",3,0
"(4, 4, 4, 1, 2)",2,0
"(4, 4, 2, 2, 2)",55,0
"(4, 4, 2, 2, 4)",2,0
"(4, 4, 2, 3, 1)",160,0
"(4, 4, 2, 3, 2)",74,0
"(1, 1, 2, 3, 4)",1,0
"(1, 1, 2, 4, 1)",1,0
